regime	window_kb	epoch_progress	epoch	batch	batches_in_epoch	train_loss	source
heldout	10	5.0	5			0.005536844483341156	epoch_mean
heldout	20	0.09340556697179152	1	500.0	5353.0	0.48348	running_log
heldout	20	0.18681113394358304	1	1000.0	5353.0	0.25365	running_log
heldout	20	0.28021670091537454	1	1500.0	5353.0	0.17493	running_log
heldout	20	0.37362226788716607	1	2000.0	5353.0	0.13492	running_log
heldout	20	0.4670278348589576	1	2500.0	5353.0	0.11052	running_log
heldout	20	0.5604334018307491	1	3000.0	5353.0	0.09421	running_log
heldout	20	0.6538389688025407	1	3500.0	5353.0	0.08238	running_log
heldout	20	0.7472445357743321	1	4000.0	5353.0	0.07343	running_log
heldout	20	0.8406501027461236	1	4500.0	5353.0	0.06646	running_log
heldout	20	0.9340556697179152	1	5000.0	5353.0	0.06086	running_log
heldout	20	1.0	1			0.05748465766191147	epoch_mean
heldout	20	1.0934055669717915	2	500.0	5353.0	0.01017	running_log
heldout	20	1.186811133943583	2	1000.0	5353.0	0.01006	running_log
heldout	20	1.2802167009153744	2	1500.0	5353.0	0.00975	running_log
heldout	20	1.3736222678871661	2	2000.0	5353.0	0.00958	running_log
heldout	20	1.4670278348589576	2	2500.0	5353.0	0.00947	running_log
heldout	20	1.560433401830749	2	3000.0	5353.0	0.00942	running_log
heldout	20	1.6538389688025408	2	3500.0	5353.0	0.00934	running_log
heldout	20	1.7472445357743323	2	4000.0	5353.0	0.00924	running_log
heldout	20	1.8406501027461237	2	4500.0	5353.0	0.00911	running_log
heldout	20	1.9340556697179152	2	5000.0	5353.0	0.00901	running_log
heldout	20	2.0	2			0.008974999409043333	epoch_mean
heldout	20	2.0934055669717915	3	500.0	5353.0	0.00771	running_log
heldout	20	2.186811133943583	3	1000.0	5353.0	0.00777	running_log
heldout	20	2.2802167009153744	3	1500.0	5353.0	0.00782	running_log
heldout	20	2.373622267887166	3	2000.0	5353.0	0.00779	running_log
heldout	20	2.467027834858958	3	2500.0	5353.0	0.0077	running_log
heldout	20	2.560433401830749	3	3000.0	5353.0	0.00766	running_log
heldout	20	2.6538389688025408	3	3500.0	5353.0	0.00764	running_log
heldout	20	2.7472445357743323	3	4000.0	5353.0	0.00759	running_log
heldout	20	2.8406501027461237	3	4500.0	5353.0	0.00756	running_log
heldout	20	2.934055669717915	3	5000.0	5353.0	0.00752	running_log
heldout	20	3.0	3			0.0074832741607501	epoch_mean
heldout	20	3.0934055669717915	4	500.0	5353.0	0.00661	running_log
heldout	20	3.186811133943583	4	1000.0	5353.0	0.00651	running_log
heldout	20	3.2802167009153744	4	1500.0	5353.0	0.00656	running_log
heldout	20	3.373622267887166	4	2000.0	5353.0	0.00655	running_log
